purpose_group,vuln_group,dist_m,w
compras_tramites,alta,7524.169057176783,1.0
compras_tramites,alta,8934.054668094437,1.0
salud,todas,3583.855509433939,1.0
compras_tramites,baja,8324.623363817373,1.0
compras_tramites,media,8326.279821153998,1.0
social_recreacion,todas,8424.228262363637,1.48210391383712
salud,todas,4666.350394044579,0.817907347175127
salud,todas,4665.186217227159,1.0
compras_tramites,media,4984.1194280089485,1.0
salud,todas,3458.833024392042,1.0
compras_tramites,alta,4589.896774374568,1.0
compras_tramites,alta,5924.1207978517,1.0
compras_tramites,alta,5924.055371774606,1.0
compras_tramites,alta,2060.832181965956,1.0
compras_tramites,alta,4674.037628636108,1.0
compras_tramites,alta,4674.037628636108,1.0
compras_tramites,media,165.27628384012027,1.48210391383712
salud,todas,3465.8678940186196,1.0
salud,todas,972.7099232178947,1.0
salud,todas,972.7099232178947,1.0
salud,todas,4658.179855104352,1.0
salud,todas,4658.179855104352,1.0
salud,todas,3112.5986756446773,0.817907347175127
compras_tramites,baja,162.09148470558995,1.48210391383712
compras_tramites,alta,6451.865797242299,1.0
salud,todas,3013.9814810585785,1.48210391383712
salud,todas,3947.467594195874,1.0
compras_tramites,alta,6085.482534101266,1.12721985301036
salud,todas,3149.6823229258475,0.817907347175127
compras_tramites,media,7694.341479663095,1.12721985301036
compras_tramites,media,130.3572015655445,1.0
compras_tramites,alta,1810.6014779387713,1.0
compras_tramites,alta,1810.6014779387713,1.0
compras_tramites,media,8810.463281539262,1.0
salud,todas,5948.382033248752,1.42042823117339
compras_tramites,baja,5788.949322105545,1.0
compras_tramites,alta,1172.029436490398,1.48210391383712
compras_tramites,alta,6433.26354359038,1.48210391383712
compras_tramites,alta,7717.431606093219,1.0
compras_tramites,alta,7285.158166018515,1.0
compras_tramites,alta,1193.3040266419953,1.48210391383712
compras_tramites,alta,5712.947795632742,1.0
compras_tramites,media,77.33571296626158,1.48210391383712
compras_tramites,media,3811.495363663265,1.0
compras_tramites,alta,5545.764998884425,1.0
compras_tramites,alta,5030.180500555031,1.0
compras_tramites,baja,12535.188019981553,1.0
compras_tramites,media,1885.4679212934286,1.12721985301036
compras_tramites,media,5074.647752650086,1.0
salud,todas,3631.0291434557503,1.0430735418982884
compras_tramites,media,7403.154486275175,1.0
compras_tramites,media,6655.839808957244,1.48210391383712
compras_tramites,media,7663.189799956429,1.0
social_recreacion,todas,3354.1470368376163,1.0
compras_tramites,baja,4987.44869647799,1.0
salud,todas,3069.310071727236,1.0
compras_tramites,media,5162.762600104625,1.0
compras_tramites,alta,5504.173053238788,1.0
compras_tramites,alta,6974.416313223369,1.0
salud,todas,3317.557989790834,1.0
compras_tramites,alta,2715.588133380364,1.48210391383712
compras_tramites,alta,1254.83265816602,1.0
compras_tramites,alta,6782.157363906345,1.0
compras_tramites,alta,7856.969322739943,1.0
salud,todas,4580.412999937887,1.0
salud,todas,3400.523296701002,0.817907347175127
compras_tramites,alta,1405.1739897273399,1.48210391383712
compras_tramites,alta,720.7657826760109,1.48210391383712
compras_tramites,alta,50.288891976757654,1.48210391383712
salud,todas,1186.5340779615487,1.14387994007037
social_recreacion,todas,1584.9588519895399,1.48210391383712
salud,todas,633.6824051723387,1.48210391383712
compras_tramites,alta,619.090929590769,1.48210391383712
compras_tramites,alta,713.0175313412707,1.48210391383712
compras_tramites,media,1330.5867629692784,1.48210391383712
compras_tramites,media,442.27798102550844,1.48210391383712
compras_tramites,alta,15547.433566881757,1.0
compras_tramites,baja,457.6029938713251,1.48210391383712
social_recreacion,todas,2974.7504681327896,1.48210391383712
salud,todas,11640.546987700001,1.0
social_recreacion,todas,10711.589497478888,1.0
compras_tramites,baja,1436.299452817574,1.14387994007037
compras_tramites,baja,581.1729527228212,1.48210391383712
compras_tramites,baja,1436.299452817574,1.14387994007037
compras_tramites,baja,581.1729527228212,1.48210391383712
salud,todas,1082.8383028130575,1.0430735418982884
social_recreacion,todas,305.0029777006284,1.14387994007037
social_recreacion,todas,15779.089712566647,1.0
social_recreacion,todas,15779.089712566647,1.0
compras_tramites,media,1161.7041567677902,1.0
compras_tramites,media,2367.653352882145,1.0
compras_tramites,media,13689.004494940456,1.0
compras_tramites,alta,1714.2438486563835,1.48210391383712
social_recreacion,todas,1754.1446555675645,1.48210391383712
salud,todas,455.3060279653263,1.48210391383712
compras_tramites,baja,12353.412740174335,1.12721985301036
compras_tramites,baja,776.4229779089488,1.48210391383712
salud,todas,15153.65977044742,1.0
compras_tramites,alta,79.11868063232602,1.48210391383712
compras_tramites,baja,2378.5671763690007,1.48210391383712
social_recreacion,todas,2378.5671763690007,1.48210391383712
social_recreacion,todas,167.51832922101391,1.48210391383712
compras_tramites,media,3040.3027912528714,1.14387994007037
social_recreacion,todas,3195.5221428782183,1.48210391383712
compras_tramites,baja,2138.842997548923,1.0
compras_tramites,alta,125.04986895859787,1.48210391383712
compras_tramites,alta,125.04986895859787,1.48210391383712
compras_tramites,media,10856.246509066796,1.12721985301036
salud,todas,10713.196514696256,1.0430735418982884
compras_tramites,media,8077.84028318368,1.48210391383712
social_recreacion,todas,2372.7008330516646,1.14387994007037
salud,todas,10713.196514696256,1.0430735418982884
compras_tramites,media,8077.84028318368,1.48210391383712
compras_tramites,baja,4898.696261506729,1.0
compras_tramites,baja,4898.696261506729,1.0
compras_tramites,media,300.7926053051338,1.48210391383712
compras_tramites,media,198.9340735645857,1.48210391383712
compras_tramites,media,514.2866883865092,1.48210391383712
compras_tramites,baja,2001.696378231474,1.0
salud,todas,4878.969262303258,1.0
compras_tramites,alta,355.02632494823536,1.48210391383712
compras_tramites,baja,1034.5728780704926,1.48210391383712
compras_tramites,alta,5788.128751281043,1.48210391383712
compras_tramites,media,3174.1398299627963,1.48210391383712
compras_tramites,media,2783.8222011923754,1.48210391383712
compras_tramites,alta,2948.6718733026655,1.0
social_recreacion,todas,670.9047791275972,1.48210391383712
social_recreacion,todas,7622.557935335032,1.0
social_recreacion,todas,1329.242192252436,1.48210391383712
compras_tramites,alta,277.3942383622315,1.48210391383712
social_recreacion,todas,9752.648775621165,0.817907347175127
compras_tramites,media,6002.873194956442,1.12721985301036
compras_tramites,media,679.876505330196,1.12721985301036
social_recreacion,todas,3194.1384303908935,1.0
compras_tramites,alta,548.0288051636178,1.12721985301036
compras_tramites,alta,783.589738898009,1.12721985301036
compras_tramites,alta,444.51353765239816,1.48210391383712
compras_tramites,media,2632.1453353502825,1.12721985301036
compras_tramites,media,513.0535434791991,1.48210391383712
compras_tramites,media,1707.1823460017386,1.0
compras_tramites,media,89.04056747488754,1.48210391383712
compras_tramites,media,134.5253228949851,1.48210391383712
compras_tramites,media,1019.3733258914824,1.48210391383712
compras_tramites,alta,227.85296279892873,1.48210391383712
compras_tramites,alta,7373.907274979799,1.12721985301036
social_recreacion,todas,3376.300907989254,1.05276355601825
compras_tramites,alta,956.5214831127684,1.0
social_recreacion,todas,1906.0887557316323,1.0
salud,todas,1528.4118710793402,1.0
compras_tramites,media,85.03124425762567,1.48210391383712
compras_tramites,media,6782.620525387385,1.0
compras_tramites,media,637.4433989885396,1.48210391383712
social_recreacion,todas,7040.164363606972,1.0
social_recreacion,todas,285.36703510840647,1.14387994007037
compras_tramites,media,735.3748220508029,1.48210391383712
compras_tramites,media,1317.3736716000515,1.48210391383712
compras_tramites,media,1317.3736716000515,1.48210391383712
compras_tramites,media,11019.738868169983,1.48210391383712
salud,todas,9729.661158026009,1.12721985301036
salud,todas,947.5325321138386,1.14387994007037
salud,todas,948.7610799954131,1.14387994007037
compras_tramites,alta,63.270755302608016,1.48210391383712
compras_tramites,media,411.54880031299143,1.48210391383712
social_recreacion,todas,3838.7633282901147,1.0
compras_tramites,media,411.54880031299143,1.48210391383712
compras_tramites,media,131.27965438806578,1.48210391383712
salud,todas,2676.608990584273,1.12721985301036
compras_tramites,media,8435.785367446531,1.12721985301036
compras_tramites,alta,3317.248866159888,1.48210391383712
compras_tramites,media,7516.337025068398,1.0
compras_tramites,media,391.1377834280396,1.48210391383712
compras_tramites,media,9847.972617786061,1.48210391383712
compras_tramites,alta,1209.047651110679,1.0
compras_tramites,alta,424.0352388529313,1.48210391383712
social_recreacion,todas,740.195289370481,1.48210391383712
salud,todas,224.8573940439807,1.48210391383712
compras_tramites,alta,3014.582491433308,1.0
social_recreacion,todas,552.5847158256031,1.48210391383712
salud,todas,2927.396300902743,1.12721985301036
compras_tramites,media,2583.0844457559356,1.0
compras_tramites,alta,209.50238662125068,1.48210391383712
social_recreacion,todas,1431.2672924719548,1.48210391383712
compras_tramites,media,4726.986543788363,1.12721985301036
compras_tramites,media,2710.8778186874383,1.12721985301036
compras_tramites,alta,405.45321020317806,1.48210391383712
compras_tramites,media,4740.249614442952,1.0
salud,todas,7173.562055387825,1.0
compras_tramites,baja,267.761308190826,1.48210391383712
social_recreacion,todas,2730.414645029041,1.48210391383712
compras_tramites,baja,9582.553378405988,1.0
compras_tramites,alta,5850.258185491822,1.0
compras_tramites,alta,6363.7094801425565,1.0
social_recreacion,todas,9448.850370351362,1.0
compras_tramites,alta,1606.9612931418883,1.48210391383712
compras_tramites,alta,1606.9612931418883,1.48210391383712
compras_tramites,baja,7814.777940903055,1.0
salud,todas,6281.01914322342,1.0
social_recreacion,todas,498.6602372623694,1.14387994007037
compras_tramites,media,7940.060079275219,1.0
compras_tramites,baja,8573.041781292628,1.48210391383712
salud,todas,5802.46866517619,1.0
salud,todas,5802.46866517619,1.0
salud,todas,6424.776910721419,1.0
salud,todas,6398.262264083897,1.0
compras_tramites,alta,10514.847789303778,1.0
salud,todas,566.7508822225158,1.48210391383712
compras_tramites,media,6738.675449701243,1.0
salud,todas,502.59800136546755,1.48210391383712
social_recreacion,todas,8846.168735110079,1.12721985301036
compras_tramites,alta,376.10187205604615,1.14387994007037
compras_tramites,alta,6909.789136799984,1.0
compras_tramites,baja,9174.341226562605,1.12721985301036
salud,todas,287.9927994569699,1.48210391383712
compras_tramites,alta,7946.097881844369,1.0
compras_tramites,baja,6438.3900799259645,1.0
salud,todas,849.7379427147305,1.0
social_recreacion,todas,2732.9958623805237,1.14387994007037
salud,todas,2732.9958623805237,1.0
social_recreacion,todas,605.4370322337411,1.0430735418982884
social_recreacion,todas,4353.113011469493,1.0430735418982884
compras_tramites,media,252.13020569737375,1.48210391383712
compras_tramites,alta,4051.95552916756,1.0
compras_tramites,media,3069.8448276134413,1.0
compras_tramites,alta,3392.4414903760685,1.48210391383712
compras_tramites,media,1995.8240311902657,1.0
compras_tramites,media,381.12572257228976,1.48210391383712
compras_tramites,media,3009.93476102473,1.0
salud,todas,14327.773660496116,1.0
salud,todas,14327.773660496116,1.0
compras_tramites,alta,369.28858972353856,1.48210391383712
compras_tramites,media,1503.0513576684805,1.48210391383712
salud,todas,5051.8318383386,1.0
salud,todas,7731.247117079596,1.0430735418982884
salud,todas,7731.247117079596,1.0430735418982884
compras_tramites,media,161.53812678822916,1.48210391383712
compras_tramites,media,161.53812678822916,1.48210391383712
compras_tramites,media,4100.543655004975,1.0
compras_tramites,media,438.51037014711807,1.48210391383712
compras_tramites,media,715.3097019659125,1.48210391383712
salud,todas,1523.685582364764,1.0
compras_tramites,alta,336.34007999948875,1.48210391383712
compras_tramites,media,656.9081104880652,1.48210391383712
compras_tramites,baja,3974.5415509262275,1.0
compras_tramites,media,2958.5331195926406,1.48210391383712
compras_tramites,media,248.84425232273801,1.48210391383712
compras_tramites,media,2987.0223783019374,1.0
compras_tramites,media,4396.183275367964,1.48210391383712
compras_tramites,alta,318.2253418005274,1.48210391383712
compras_tramites,media,466.1031311912097,1.48210391383712
salud,todas,1205.3925725282406,1.48210391383712
compras_tramites,media,848.6459458491804,1.48210391383712
compras_tramites,media,1149.148931002853,1.48210391383712
compras_tramites,baja,762.8869509960175,1.48210391383712
social_recreacion,todas,480.5834995086702,1.48210391383712
salud,todas,4232.218461107492,1.48210391383712
social_recreacion,todas,9198.682715009048,1.0
salud,todas,1005.8262481195497,1.48210391383712
compras_tramites,alta,1086.9067100211787,1.14387994007037
salud,todas,1598.8371555602528,1.48210391383712
social_recreacion,todas,6523.535116036109,1.0430735418982884
compras_tramites,media,71.2050365252522,1.14387994007037
