vuln_group,auto,dist,walk,w,prop
alta,sin auto,63.270755302608016,True,1.48210391383712,De compras
media,sin auto,411.54880031299143,True,1.48210391383712,De compras
media,sin auto,3838.7633282901147,False,1.0,Visitar a alguien
media,sin auto,411.54880031299143,True,1.48210391383712,De compras
media,sin auto,131.27965438806578,True,1.48210391383712,De compras
media,sin auto,2676.608990584273,False,1.12721985301036,De salud
media,sin auto,8435.785367446531,False,1.12721985301036,Buscar o dejar algo
alta,con auto,3317.248866159888,False,1.48210391383712,Trámites
media,sin auto,7516.337025068398,False,1.0,Trámites
media,sin auto,391.1377834280396,True,1.48210391383712,De compras
media,con auto,9847.972617786061,False,1.48210391383712,Trámites
alta,sin auto,1209.047651110679,False,1.0,Trámites
alta,con auto,424.0352388529313,True,1.48210391383712,De compras
media,sin auto,740.195289370481,True,1.48210391383712,Recreación
alta,sin auto,224.8573940439807,True,1.48210391383712,De salud
alta,con auto,3014.582491433308,False,1.0,De compras
alta,con auto,552.5847158256031,True,1.48210391383712,Recreación
alta,sin auto,2927.396300902743,False,1.12721985301036,De salud
media,sin auto,2583.0844457559356,False,1.0,De compras
alta,sin auto,209.50238662125068,True,1.48210391383712,De compras
alta,sin auto,1431.2672924719548,True,1.48210391383712,Buscar o Dejar a alguien
media,sin auto,4726.986543788363,False,1.12721985301036,Trámites
media,sin auto,2710.8778186874383,False,1.12721985301036,De compras
alta,con auto,405.45321020317806,True,1.48210391383712,De compras
media,sin auto,4740.249614442952,False,1.0,Trámites
baja,sin auto,7173.562055387825,False,1.0,De salud
baja,con auto,267.761308190826,False,1.48210391383712,De compras
baja,con auto,2730.414645029041,False,1.48210391383712,Recreación
baja,sin auto,9582.553378405988,False,1.0,Trámites
alta,sin auto,5850.258185491822,False,1.0,De compras
alta,sin auto,6363.7094801425565,False,1.0,De compras
alta,sin auto,9448.850370351362,False,1.0,Visitar a alguien
alta,con auto,1606.9612931418883,True,1.48210391383712,De compras
alta,con auto,1606.9612931418883,True,1.48210391383712,De compras
baja,sin auto,7814.777940903055,False,1.0,De compras
baja,sin auto,6281.01914322342,False,1.0,De salud
media,sin auto,498.6602372623694,True,1.14387994007037,Buscar o Dejar a alguien
media,con auto,7940.060079275219,False,1.0,De compras
baja,con auto,8573.041781292628,False,1.48210391383712,Trámites
alta,con auto,5802.46866517619,False,1.0,De salud
alta,con auto,5802.46866517619,False,1.0,De salud
alta,sin auto,6424.776910721419,False,1.0,De salud
alta,sin auto,6398.262264083897,False,1.0,De salud
alta,sin auto,10514.847789303778,False,1.0,De compras
alta,sin auto,566.7508822225158,True,1.48210391383712,De salud
media,con auto,6738.675449701243,False,1.0,De compras
alta,sin auto,502.59800136546755,True,1.48210391383712,De salud
baja,con auto,8846.168735110079,False,1.12721985301036,Visitar a alguien
alta,sin auto,376.10187205604615,True,1.14387994007037,Trámites
alta,sin auto,6909.789136799984,False,1.0,De compras
baja,sin auto,9174.341226562605,False,1.12721985301036,Trámites
alta,sin auto,6315325.208964301,False,1.48210391383712,Visitar a alguien
media,sin auto,287.9927994569699,True,1.48210391383712,De salud
alta,sin auto,7946.097881844369,False,1.0,De compras
baja,sin auto,6438.3900799259645,False,1.0,De compras
alta,sin auto,849.7379427147305,False,1.0,De salud
alta,con auto,2732.9958623805237,False,1.14387994007037,Buscar o Dejar a alguien
alta,con auto,2732.9958623805237,False,1.0,De salud
media,con auto,605.4370322337411,False,1.0430735418982884,Buscar o Dejar a alguien
media,con auto,4353.113011469493,False,1.0430735418982884,Buscar o Dejar a alguien
media,sin auto,252.13020569737375,True,1.48210391383712,De compras
alta,sin auto,4051.95552916756,False,1.0,Trámites
media,sin auto,3069.8448276134413,False,1.0,Trámites
alta,sin auto,3392.4414903760685,False,1.48210391383712,De compras
media,sin auto,1995.8240311902657,False,1.0,De compras
media,sin auto,381.12572257228976,True,1.48210391383712,De compras
media,con auto,3009.93476102473,False,1.0,Trámites
baja,sin auto,14327.773660496116,False,1.0,De salud
baja,sin auto,14327.773660496116,False,1.0,De salud
alta,sin auto,369.28858972353856,True,1.48210391383712,De compras
media,sin auto,6311608.555493912,True,1.48210391383712,De compras
media,sin auto,1503.0513576684805,True,1.48210391383712,Trámites
media,sin auto,5051.8318383386,False,1.0,De salud
media,sin auto,7731.247117079596,False,1.0430735418982884,De salud
media,sin auto,7731.247117079596,False,1.0430735418982884,De salud
media,sin auto,161.53812678822916,True,1.48210391383712,De compras
media,sin auto,161.53812678822916,True,1.48210391383712,De compras
media,sin auto,4100.543655004975,False,1.0,Trámites
media,sin auto,438.51037014711807,True,1.48210391383712,De compras
media,sin auto,715.3097019659125,True,1.48210391383712,De compras
media,sin auto,1523.685582364764,False,1.0,De salud
alta,sin auto,336.34007999948875,True,1.48210391383712,De compras
media,sin auto,656.9081104880652,True,1.48210391383712,De compras
baja,sin auto,3974.5415509262275,False,1.0,Trámites
media,con auto,2958.5331195926406,False,1.48210391383712,Trámites
media,con auto,248.84425232273801,True,1.48210391383712,De compras
media,sin auto,2987.0223783019374,False,1.0,Trámites
media,con auto,4396.183275367964,False,1.48210391383712,De compras
alta,sin auto,318.2253418005274,True,1.48210391383712,De compras
media,sin auto,466.1031311912097,True,1.48210391383712,De compras
media,sin auto,1205.3925725282406,True,1.48210391383712,De salud
media,sin auto,848.6459458491804,True,1.48210391383712,De compras
media,sin auto,1149.148931002853,True,1.48210391383712,De compras
baja,sin auto,762.8869509960175,False,1.48210391383712,De compras
baja,sin auto,480.5834995086702,True,1.48210391383712,Comer o Tomar algo
media,con auto,4232.218461107492,False,1.48210391383712,De salud
baja,sin auto,9198.682715009048,False,1.0,Visitar a alguien
alta,con auto,1005.8262481195497,True,1.48210391383712,De salud
alta,sin auto,1086.9067100211787,True,1.14387994007037,Trámites
baja,con auto,1598.8371555602528,False,1.48210391383712,De salud
media,con auto,6523.535116036109,False,1.0430735418982884,Buscar o Dejar a alguien
media,con auto,71.2050365252522,False,1.14387994007037,Buscar o dejar algo
media,con auto,874.9614684596473,True,1.48210391383712,Recreación
media,con auto,5265.814775882859,False,1.12721985301036,De salud
baja,sin auto,9661.149941714448,False,1.48210391383712,Trámites
baja,sin auto,9661.149941714448,False,1.48210391383712,Trámites
alta,con auto,418.57645657633446,True,1.48210391383712,Trámites
alta,con auto,418.57645657633446,True,1.48210391383712,Trámites
alta,con auto,4989.389698791451,False,1.48210391383712,Trámites
alta,con auto,387.10320410066356,True,1.48210391383712,De compras
alta,con auto,4674.945347691912,False,1.48210391383712,Trámites
